"","seqnames","start","end","width","strand","gene_id"
"1","chr9",21062393,21073096,10704,"-","100009600"
"2","chr7",84935565,84964115,28551,"-","100009609"
"3","chr10",77711457,77712009,553,"+","100009614"
"4","chr11",45808087,45841171,33085,"+","100009664"
"5","chr4",144157557,144162663,5107,"-","100012"
"6","chr4",134741554,134768024,26471,"-","100017"
"7","chr4",32657119,32775217,118099,"+","100019"
"8","chr1",173673675,173698395,24721,"+","100033459"
"9","chr11",83703991,83706268,2278,"+","100034251"
"10","chr2",121460235,121474067,13833,"-","100034361"
"11","chrX",136955265,136958025,2761,"-","100034363"
"12","chr16",36359382,36367748,8367,"-","100034684"
"13","chr11",68901610,68906989,5380,"+","100034726"
"14","chrX",148488949,148521446,32498,"+","100034729"
"15","chr17",25946387,25952565,6179,"-","100034748"
"16","chr13",23249238,23250323,1086,"+","100036518"
"17","chr2",180332857,180340732,7876,"+","100036520"
"18","chr6",8259288,8459470,200183,"+","100036521"
"19","chr7",141610066,141613747,3682,"-","100036523"
"20","chr9",49518288,49572591,54304,"+","100036537"
"21","chr11",109352835,109363654,10820,"-","100036768"
"22","chr14",118937976,118981697,43722,"+","100037258"
"23","chr1",92933526,92950590,17065,"-","100037260"
"24","chr11",98797707,98810087,12381,"-","100037262"
"25","chr8",71597648,71607936,10289,"+","100037278"
"26","chr17",6904413,6948682,44270,"-","100037282"
"27","chr17",8115445,8147785,32341,"-","100037283"
"28","chr7",4126340,4136926,10587,"-","100037396"
"29","chr7",73740302,73776919,36618,"+","100038347"
"30","chr18",75514645,75522806,8162,"+","100038353"
"31","chr6",88842854,88847274,4421,"+","100038356"
"32","chr2",6132869,6140568,7700,"+","100038358"
"33","chrX",96239926,96243636,3711,"+","100038363"
"34","chr13",21504313,21506533,2221,"-","100038371"
"35","chr2",174125038,174183918,58881,"-","100038374"
"36","chr12",100187968,100193540,5573,"+","100038378"
"37","chr16",91688898,91715642,26745,"+","100038392"
"38","chr17",13205042,13206209,1168,"+","100038394"
"39","chr18",62607535,62741387,133853,"-","100038417"
"40","chr18",4812486,4850959,38474,"+","100038439"
"41","chr3",108379277,108383741,4465,"-","100038453"
"42","chr2",109902396,109913319,10924,"-","100038454"
"43","chr3",96555765,96566801,11037,"-","100038464"
"44","chr9",45107176,45135606,28431,"-","100038468"
"45","chr10",77011995,77022214,10220,"+","100038479"
"46","chr8",65014856,65037336,22481,"-","100038489"
"47","chr2",60964376,60975151,10776,"-","100038493"
"48","chr13",56362900,56368857,5958,"+","100038494"
"49","chr4",14929908,14953030,23123,"+","100038514"
"50","chr7",31155668,31170641,14974,"+","100038516"
"51","chr12",3859293,3862244,2952,"-","100038522"
"52","chr2",93452819,93469871,17053,"+","100038525"
"53","chr4",156022008,156023824,1817,"-","100038526"
"54","chr13",66904914,66909236,4323,"+","100038538"
"55","chr3",11823229,11844359,21131,"-","100038545"
"56","chr8",12706944,12719127,12184,"-","100038554"
"57","chr7",137234683,137242609,7927,"+","100038555"
"58","chr6",84412942,84423838,10897,"-","100038556"
"59","chr9",44122186,44134485,12300,"-","100038560"
"60","chr9",57056630,57071966,15337,"-","100038566"
"61","chr11",116653534,116668389,14856,"+","100038570"
"62","chr4",118954274,118954919,646,"-","100038571"
"63","chr6",126286649,126328686,42038,"-","100038574"
"64","chr9",79444037,79519302,75266,"-","100038575"
"65","chr13",41865915,41913092,47178,"+","100038577"
"66","chrX",99405331,99443797,38467,"-","100038584"
"67","chr10",127195249,127202643,7395,"+","100038591"
"68","chr4",139175405,139180655,5251,"-","100038595"
"69","chr3",83125276,83129246,3971,"-","100038599"
"70","chr11",96448323,96464547,16225,"-","100038600"
"71","chr15",78994955,79011041,16087,"-","100038602"
"72","chr3",146367153,146378944,11792,"-","100038607"
"73","chr15",10600293,10611651,11359,"+","100038608"
"74","chr16",84972214,84979451,7238,"+","100038614"
"75","chr11",24721006,24730722,9717,"-","100038617"
"76","chr16",27849930,27926128,76199,"+","100038623"
"77","chr13",67278577,67283361,4785,"+","100038627"
"78","chr19",43838803,43840728,1926,"+","100038628"
"79","chr1",132729355,132732826,3472,"+","100038653"
"80","chr14",47097679,47116161,18483,"-","100038654"
"81","chr1",162647193,162658219,11027,"-","100038657"
"82","chr15",76266461,76269839,3379,"-","100038659"
"83","chr11",66905721,66947086,41366,"-","100038666"
"84","chr12",117144530,117151269,6740,"-","100038689"
"85","chr13",118603418,118658743,55326,"-","100038690"
"86","chr4",142083972,142088099,4128,"+","100038693"
"87","chr10",97681414,97967090,285677,"-","100038699"
"88","chr8",87169747,87199850,30104,"-","100038706"
"89","chr1",192136896,192151026,14131,"+","100038712"
"90","chr12",100276609,100302315,25707,"+","100038713"
"91","chr6",72629288,72637717,8430,"+","100038714"
"92","chr10",53273443,53379947,106505,"-","100038725"
"93","chr15",43430943,43477036,46094,"-","100038728"
